  UNIT                                                                                                                                                        LOAD      ACTIVE   SUB       DESCRIPTION
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart4.device                                                                                       loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.device                                                                                                  loaded    active   plugged   CT500MX500SSD1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1\x2dpart1.device                                                                                         loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1\x2dpart2.device                                                                                         loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1\x2dpart3.device                                                                                         loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1\x2dpart4.device                                                                                         loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0.device                                                                                                loaded    active   plugged   SSDPR-CX400-01T-G2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dlabel-SY\x5cx27s\x5cx20Storage\x5cx202.device                                           loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartlabel-Basic\x5cx20data\x5cx20partition.device                                       loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartlabel-Microsoft\x5cx20reserved\x5cx20partition.device                               loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartnum-1.device                                                                        loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartnum-2.device                                                                        loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
